id,type,severity,timestamp,week,product,entity,description,score,complaint_ids,observed,expected,ratio,p_value,companies_affected,company_list,avg_ratio,common_issues,cluster_id,cluster_label,baseline_share,current_share,z_score,novel_count,total_count,novel_share
vol_Debt collection_2024-11-04/2024-11-10_7766d475,volume_spike,high,2026-02-02 02:37:40.892472,2024-11-04/2024-11-10,Debt collection,Consumer Adjustment Company Incorporated,Consumer Adjustment Company Incorporated: 7 vs 1.5 expected (4.7x),14.155832875311566,"[10715055, 10701760, 10715069, 10719533, 10721331, 10701360, 10750692]",7.0,1.5,4.67,0.000926,,,,,,,,,,,,
vol_Debt collection_2024-01-15/2024-01-21_8f69f7e7,volume_spike,high,2026-02-02 02:37:41.014447,2024-01-15/2024-01-21,Debt collection,"Collection Management Holdings, LLC","Collection Management Holdings, LLC: 7 vs 1.5 expected (4.7x)",14.155832875311566,"[8175496, 8179904, 8158600, 8159397, 8188622, 8175236, 8180323]",7.0,1.5,4.67,0.000926,,,,,,,,,,,,
corr_Debt collection_2024-12-09/2024-12-15,correlated_spike,high,2026-02-02 02:37:39.711010,2024-12-09/2024-12-15,Debt collection,,6 companies spiked together (avg 2.4x),14.127485380116958,"[11106987, 11106306, 11128473, 11151102, 11151575, 11127541, 11216020, 11088093, 11129743, 11118804]",,,,,6.0,"['Eastern Account Systems of Connecticut, Inc.', 'Central Portfolio Control Inc.', 'Diversified Adjustment Service, Inc.', 'CLGF Holdco 1, LLC', 'ONLINE Information Services, Inc.', 'Lockhart, Morris & Montgomery Inc.']",2.35,"{'Attempts to collect debt not owed': 15, 'False statements or representation': 13, 'Written notification about debt': 7}",,,,,,,,
corr_Debt collection_2024-11-11/2024-11-17,correlated_spike,high,2026-02-02 02:37:41.001726,2024-11-11/2024-11-17,Debt collection,,5 companies spiked together (avg 2.8x),14.12051282051282,"[10778522, 10826046, 10826532, 10806474, 10752258, 10785936, 10812841, 10820659, 10825369, 10780074]",,,,,5.0,"['Absolute Resolutions Corp.', 'Rent Recovery Solutions', 'Security Credit Services, LLC', 'Debt Recovery Solutions, LLC', 'Harris & Harris, Ltd.']",2.82,"{'Attempts to collect debt not owed': 13, 'False statements or representation': 12, 'Written notification about debt': 5}",,,,,,,,
corr_Debt collection_2024-02-26/2024-03-03,correlated_spike,high,2026-02-02 02:37:40.007150,2024-02-26/2024-03-03,Debt collection,,5 companies spiked together (avg 2.8x),13.815151515151513,"[8455749, 8443398, 8441185, 8446918, 8464150, 8460821, 8456254, 8457517, 8443584, 8432010]",,,,,5.0,"['CAINE & WEINER COMPANY, INC.', 'JPMORGAN CHASE & CO.', 'Ability Recovery Services, LLC', 'CCF Intermediate Holdings LLC', 'Aldous & Associates, PLLC']",2.76,"{'Attempts to collect debt not owed': 19, 'Written notification about debt': 14, 'Took or threatened to take negative or legal action': 7}",,,,,,,,
corr_Debt collection_2024-04-15/2024-04-21,correlated_spike,high,2026-02-02 02:37:40.142230,2024-04-15/2024-04-21,Debt collection,,5 companies spiked together (avg 2.7x),13.324675324675324,"[8818812, 8795240, 8817608, 8820033, 8805806, 8783191, 8806799, 8773671, 8819894, 8816905]",,,,,5.0,"['Affirm Holdings, Inc', 'Zions Debt Holdings', 'MRS BPO, LLC', 'CLGF Holdco 1, LLC', 'TRUIST FINANCIAL CORPORATION']",2.66,"{'Attempts to collect debt not owed': 16, 'False statements or representation': 7, 'Written notification about debt': 6}",,,,,,,,
corr_Debt collection_2024-10-14/2024-10-20,correlated_spike,high,2026-02-02 02:37:40.202108,2024-10-14/2024-10-20,Debt collection,,5 companies spiked together (avg 2.6x),13.209523809523809,"[10497623, 10485685, 10484559, 10461624, 10511527, 10455645, 10487527, 10461988, 10479824, 10474626]",,,,,5.0,"['Credit Control, LLC', 'Ability Recovery Services, LLC', 'Velocity Portfolio Group', 'Nelnet, Inc.', 'BARCLAYS BANK DELAWARE']",2.64,"{'Attempts to collect debt not owed': 13, 'Took or threatened to take negative or legal action': 9, 'Written notification about debt': 8}",,,,,,,,
vol_Debt collection_2024-01-29/2024-02-04_3cd9d1bd,volume_spike,high,2026-02-02 02:37:40.018081,2024-01-29/2024-02-04,Debt collection,"Sequium Asset Solutions, LLC","Sequium Asset Solutions, LLC: 6 vs 1.2 expected (4.8x)",13.131044539085282,"[8273235, 8268443, 8277861, 8273774, 8242266, 8273707]",6.0,1.2,4.8,0.001838,,,,,,,,,,,,
vol_Debt collection_2024-07-22/2024-07-28_703e04b2,volume_spike,high,2026-02-02 02:37:40.612032,2024-07-22/2024-07-28,Debt collection,LJ Ross Associates,LJ Ross Associates: 6 vs 1.2 expected (4.8x),13.131044539085282,"[9636334, 9627837, 9619671, 9630858, 9605462, 9606864]",6.0,1.2,4.8,0.001838,,,,,,,,,,,,
clust_Debt collection_2024-09-30/2024-10-06_22,cluster_growing,high,2026-02-02 02:37:40.400091,2024-09-30/2024-10-06,Debt collection,,Cluster 'cluster_22' growing: 1.8% → 8.6%,13.116351538875492,"[10308392, 10322916, 10311455, 10307373, 10311439, 10337242, 10339341, 10336756, 10335454, 10313496]",,,,,,,,,22.0,cluster_22,1.76,8.63,13.12,,,
clust_Debt collection_2024-05-13/2024-05-19_8,cluster_shrinking,high,2026-02-02 02:37:39.534483,2024-05-13/2024-05-19,Debt collection,,Cluster 'cluster_8' shrinking: 13.2% → 1.0%,13.03446037266638,"[9005011, 9007731, 9004759, 9027636, 9007650, 9030165, 9031333, 9031344, 8995777, 9000530]",,,,,,,,,8.0,cluster_8,13.21,1.03,-13.03,,,
vol_Debt collection_2024-08-12/2024-08-18_d4273ece,volume_spike,high,2026-02-02 02:37:39.288635,2024-08-12/2024-08-18,Debt collection,AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY: 11 vs 3.0 expected (3.7x),12.958425842615497,"[9831773, 9788092, 9802937, 9794936, 9777246, 9788067, 9788496, 9803957, 9813717, 9800130]",11.0,3.0,3.67,0.000292,,,,,,,,,,,,
vol_Debt collection_2025-01-20/2025-01-26_2ec6be91,volume_spike,high,2026-02-02 02:37:39.907102,2025-01-20/2025-01-26,Debt collection,"Ability Recovery Services, LLC","Ability Recovery Services, LLC: 11 vs 3.0 expected (3.7x)",12.958425842615497,"[11715502, 11701214, 11607999, 11710967, 11741370, 11780875, 11614270, 11710344, 11722103, 11751134]",11.0,3.0,3.67,0.000292,,,,,,,,,,,,
vol_Debt collection_2024-02-26/2024-03-03_61988214,volume_spike,high,2026-02-02 02:37:39.991739,2024-02-26/2024-03-03,Debt collection,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO.: 11 vs 3.0 expected (3.7x),12.958425842615497,"[8443398, 8441185, 8456254, 8457517, 8437038, 8431485, 8463907, 8424231, 8445966, 8427367]",11.0,3.0,3.67,0.000292,,,,,,,,,,,,
corr_Debt collection_2024-01-22/2024-01-28,correlated_spike,high,2026-02-02 02:37:39.453619,2024-01-22/2024-01-28,Debt collection,,6 companies spiked together (avg 2.1x),12.83332216260651,"[8219456, 8202863, 8213026, 8208134, 8215108, 8200363, 8211685, 8232402, 8211793, 8219367]",,,,,6.0,"['TRANSUNION INTERMEDIATE HOLDINGS, INC.', 'Experian Information Solutions Inc.', 'EQUIFAX, INC.', 'CCS Financial Services, Inc.', 'TRANSWORLD SYSTEMS INC', 'JPMORGAN CHASE & CO.']",2.14,"{'Attempts to collect debt not owed': 225, 'Written notification about debt': 207, 'Took or threatened to take negative or legal action': 20}",,,,,,,,
vol_Debt collection_2023-11-27/2023-12-03_b9eba421,volume_spike,medium,2026-02-02 02:37:39.406916,2023-11-27/2023-12-03,Debt collection,CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE FINANCIAL CORPORATION: 19 vs 6.5 expected (2.9x),12.55838668342037,"[7929192, 7941365, 7906312, 7906139, 7908127, 7915243, 7927031, 7925461, 7906486, 7906265]",19.0,6.5,2.92,5.1e-05,,,,,,,,,,,,
vol_Debt collection_2024-09-23/2024-09-29_9b72770f,volume_spike,medium,2026-02-02 02:37:39.827825,2024-09-23/2024-09-29,Debt collection,"Kriya Capital, LLC","Kriya Capital, LLC: 26 vs 10.0 expected (2.6x)",12.356522337366641,"[10259027, 10286687, 10286483, 10287957, 10252459, 10262687, 10267968, 10264426, 10284689, 10219729]",26.0,10.0,2.6,1.8e-05,,,,,,,,,,,,
vol_Debt collection_2024-08-12/2024-08-18_c343524d,volume_spike,high,2026-02-02 02:37:39.287447,2024-08-12/2024-08-18,Debt collection,"HW Holding, Inc","HW Holding, Inc: 15 vs 4.8 expected (3.2x)",12.253028848587583,"[9823010, 9841851, 9834216, 9825139, 9812949, 9811776, 9800244, 9832574, 9768851, 9763649]",15.0,4.8,3.16,0.000132,,,,,,,,,,,,
clust_Debt collection_2024-03-25/2024-03-31_1,cluster_growing,high,2026-02-02 02:37:39.504997,2024-03-25/2024-03-31,Debt collection,,Cluster 'cluster_1' growing: 4.2% → 12.5%,12.229330012168766,"[8639079, 8654548, 8647878, 8644889, 8639533, 8642495, 8627532, 8625926, 8620214, 8648252]",,,,,,,,,1.0,cluster_1,4.24,12.51,12.23,,,
vol_Debt collection_2024-12-30/2025-01-05_8c705e1d,volume_spike,high,2026-02-02 02:37:39.796490,2024-12-30/2025-01-05,Debt collection,"Debt Recovery Solutions, LLC","Debt Recovery Solutions, LLC: 9 vs 2.3 expected (3.9x)",12.14697967914559,"[11355354, 11357276, 11355208, 11359699, 11322881, 11381871, 11383461, 11363777, 11354907]",9.0,2.3,3.86,0.000709,,,,,,,,,,,,
clust_Debt collection_2024-03-11/2024-03-17_8,cluster_growing,high,2026-02-02 02:37:40.261669,2024-03-11/2024-03-17,Debt collection,,Cluster 'cluster_8' growing: 3.7% → 11.4%,12.133230995863148,"[8553286, 8533835, 8553545, 8554798, 8554342, 8543119, 8543303, 8547054, 8544237, 8519514]",,,,,,,,,8.0,cluster_8,3.66,11.42,12.13,,,
clust_Debt collection_2024-01-22/2024-01-28_11,cluster_growing,high,2026-02-02 02:37:39.445258,2024-01-22/2024-01-28,Debt collection,,Cluster 'cluster_11' growing: 5.7% → 17.4%,11.890237453948014,"[8202863, 8213026, 8216844, 8211685, 8211793, 8206110, 8221107, 8219765, 8206991, 8214988]",,,,,,,,,11.0,cluster_11,5.73,17.37,11.89,,,
vol_Debt collection_2024-12-30/2025-01-05_92fdf083,volume_spike,high,2026-02-02 02:37:39.795445,2024-12-30/2025-01-05,Debt collection,"Aldous & Associates, PLLC","Aldous & Associates, PLLC: 10 vs 2.8 expected (3.6x)",11.779673197356813,"[11356596, 11367229, 11355690, 11354071, 11385167, 11348422, 11382236, 11347461, 11383348, 11380358]",10.0,2.8,3.64,0.000576,,,,,,,,,,,,
vol_Debt collection_2024-09-23/2024-09-29_de0a2140,volume_spike,high,2026-02-02 02:37:39.833041,2024-09-23/2024-09-29,Debt collection,WELLS FARGO & COMPANY,WELLS FARGO & COMPANY: 10 vs 2.8 expected (3.6x),11.779673197356813,"[10231078, 10224021, 10268916, 10210901, 10285623, 10245680, 10226288, 10236937, 10232474, 10244620]",10.0,2.8,3.64,0.000576,,,,,,,,,,,,
vol_Debt collection_2025-01-20/2025-01-26_772f4b13,volume_spike,low,2026-02-02 02:37:39.891559,2025-01-20/2025-01-26,Debt collection,Experian Information Solutions Inc.,Experian Information Solutions Inc.: 184 vs 119.2 expected (1.5x),11.765624947243857,"[11718373, 11607987, 11702734, 11719054, 11767574, 11717168, 11699086, 11711334, 11723350, 11601964]",184.0,119.2,1.54,0.0,,,,,,,,,,,,
vol_Debt collection_2025-01-20/2025-01-26_439a1df6,volume_spike,low,2026-02-02 02:37:39.895889,2025-01-20/2025-01-26,Debt collection,"Portfolio Recovery Associates, LLC","Portfolio Recovery Associates, LLC: 106 vs 61.5 expected (1.7x)",11.690625075879574,"[11707411, 11740889, 11678049, 11763573, 11741399, 11720494, 11694870, 11780004, 11776648, 11700483]",106.0,61.5,1.72,0.0,,,,,,,,,,,,
vol_Debt collection_2023-11-27/2023-12-03_d4273ece,volume_spike,high,2026-02-02 02:37:39.409916,2023-11-27/2023-12-03,Debt collection,AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY: 6 vs 1.3 expected (4.5x),11.689600972885858,"[7908546, 7908585, 7934619, 7941800, 7920766, 7941645]",6.0,1.3,4.5,0.002525,,,,,,,,,,,,
corr_Debt collection_2024-03-18/2024-03-24,correlated_spike,high,2026-02-02 02:37:40.941664,2024-03-18/2024-03-24,Debt collection,,5 companies spiked together (avg 2.3x),11.544285714285714,"[8574447, 8577135, 8605824, 8610172, 8600330, 8611123, 8573793, 8590266, 8581610, 8607253]",,,,,5.0,"['Spring Oaks Capital, LLC', 'Velocity Portfolio Group', 'CAVALRY INVESTMENTS, LLC', 'CLGF Holdco 1, LLC', 'Credit Corp Solutions Inc.']",2.31,"{'Written notification about debt': 18, 'Attempts to collect debt not owed': 14, 'Took or threatened to take negative or legal action': 3}",,,,,,,,
clust_Debt collection_2024-03-18/2024-03-24_19,cluster_growing,high,2026-02-02 02:37:40.930678,2024-03-18/2024-03-24,Debt collection,,Cluster 'cluster_19' growing: 6.6% → 15.6%,11.499817371882397,"[8601426, 8603806, 8577356, 8588057, 8573037, 8605195, 8579870, 8579662, 8588736, 8575546]",,,,,,,,,19.0,cluster_19,6.56,15.62,11.5,,,
corr_Debt collection_2024-09-30/2024-10-06,correlated_spike,medium,2026-02-02 02:37:40.409098,2024-09-30/2024-10-06,Debt collection,,4 companies spiked together (avg 2.9x),11.466666666666669,"[10364724, 10307306, 10320768, 10321809, 10336693, 10350499, 10325364, 10309927, 10363128, 10326210]",,,,,4.0,"['AMERICAN EXPRESS COMPANY', 'Sequium Asset Solutions, LLC', 'Collection Management Holdings, LLC', 'Self Financial Inc.']",2.87,"{'Took or threatened to take negative or legal action': 12, 'Attempts to collect debt not owed': 10, 'Written notification about debt': 9}",,,,,,,,
clust_Debt collection_2024-07-01/2024-07-07_5,cluster_growing,high,2026-02-02 02:37:39.559304,2024-07-01/2024-07-07,Debt collection,,Cluster 'cluster_5' growing: 4.1% → 13.0%,11.391779425567284,"[9411578, 9397239, 9433808, 9410985, 9396383, 9435389, 9420178, 9411167, 9425731, 9435317]",,,,,,,,,5.0,cluster_5,4.06,12.96,11.39,,,
vol_Debt collection_2025-01-13/2025-01-19_772f4b13,volume_spike,low,2026-02-02 02:37:39.723351,2025-01-13/2025-01-19,Debt collection,Experian Information Solutions Inc.,Experian Information Solutions Inc.: 163 vs 104.0 expected (1.6x),11.38178652248476,"[11634169, 11626492, 11654324, 11531907, 11499330, 11508008, 11510361, 11486717, 11520016, 11504609]",163.0,104.0,1.57,0.0,,,,,,,,,,,,
corr_Debt collection_2023-11-27/2023-12-03,correlated_spike,medium,2026-02-02 02:37:39.422837,2023-11-27/2023-12-03,Debt collection,,4 companies spiked together (avg 2.8x),11.253968253968253,"[7937388, 7929192, 7914260, 7916520, 7941365, 7922282, 7928289, 7906312, 7907985, 7906139]",,,,,4.0,"['CAPITAL ONE FINANCIAL CORPORATION', 'TrueAccord Corp.', 'JPMORGAN CHASE & CO.', 'Paypal Holdings, Inc']",2.81,"{'Attempts to collect debt not owed': 14, 'Written notification about debt': 13, 'Electronic communications': 7}",,,,,,,,
clust_Debt collection_2024-07-01/2024-07-07_10,cluster_growing,high,2026-02-02 02:37:39.560059,2024-07-01/2024-07-07,Debt collection,,Cluster 'cluster_10' growing: 3.1% → 10.9%,11.209603103415898,"[9436175, 9413232, 9391266, 9445741, 9396581, 9428588, 9411014, 9445396, 9436734, 9391186]",,,,,,,,,10.0,cluster_10,3.06,10.87,11.21,,,
vol_Debt collection_2024-09-23/2024-09-29_fa9c3228,volume_spike,high,2026-02-02 02:37:39.829361,2024-09-23/2024-09-29,Debt collection,V and H Portfolio,V and H Portfolio: 11 vs 3.2 expected (3.4x),10.996041158824545,"[10260189, 10280919, 10246583, 10229292, 10244887, 10258950, 10238789, 10244572, 10246379, 10262605]",11.0,3.2,3.38,0.000564,,,,,,,,,,,,
vol_Debt collection_2025-01-13/2025-01-19_e4651c04,volume_spike,medium,2026-02-02 02:37:39.729278,2025-01-13/2025-01-19,Debt collection,"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis","Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis: 35 vs 15.5 expected (2.3x)",10.941871788434593,"[11659585, 11484744, 11639318, 11505320, 11651826, 11626450, 11505147, 11573817, 11628685, 11569379]",35.0,15.5,2.26,1.4e-05,,,,,,,,,,,,
clust_Debt collection_2024-05-20/2024-05-26_8,cluster_shrinking,high,2026-02-02 02:37:39.359012,2024-05-20/2024-05-26,Debt collection,,Cluster 'cluster_8' shrinking: 8.6% → 0.5%,10.913986303418756,"[9077816, 9063523, 9058596, 9085922, 9077414, 9080059, 9054770]",,,,,,,,,8.0,cluster_8,8.61,0.48,-10.91,,,
corr_Debt collection_2025-01-27/2025-02-02,correlated_spike,medium,2026-02-02 02:37:40.235827,2025-01-27/2025-02-02,Debt collection,,3 companies spiked together (avg 3.6x),10.9,"[11817360, 11871403, 11809801, 11830555, 11850845, 11828060, 11827892, 11788805, 11862611, 11802407]",,,,,3.0,"['CLGF Holdco 1, LLC', 'LJ Ross Associates', 'Credit Systems International, Inc.']",3.63,"{'Attempts to collect debt not owed': 14, 'False statements or representation': 3, 'Took or threatened to take negative or legal action': 3}",,,,,,,,
vol_Debt collection_2025-01-20/2025-01-26_934d8cde,volume_spike,low,2026-02-02 02:37:39.893839,2025-01-20/2025-01-26,Debt collection,"EQUIFAX, INC.","EQUIFAX, INC.: 145 vs 91.5 expected (1.6x)",10.802878091335128,"[11774809, 11778930, 11679262, 11686319, 11743545, 11753687, 11759868, 11776861, 11719126, 11740369]",145.0,91.5,1.58,0.0,,,,,,,,,,,,
vol_Debt collection_2024-04-22/2024-04-28_3d72a197,volume_spike,medium,2026-02-02 02:37:40.420829,2024-04-22/2024-04-28,Debt collection,"W&A Intermediate Co., LLC","W&A Intermediate Co., LLC: 16 vs 5.5 expected (2.9x)",10.7595792963225,"[8867176, 8860807, 8876212, 8848779, 8865488, 8860257, 8842482, 8873146, 8838474, 8868732]",16.0,5.5,2.91,0.0002,,,,,,,,,,,,
vol_Debt collection_2025-01-13/2025-01-19_e62b9fa5,volume_spike,high,2026-02-02 02:37:39.737018,2025-01-13/2025-01-19,Debt collection,"Capio Partners, LLC","Capio Partners, LLC: 7 vs 1.8 expected (4.0x)",10.629350363139096,"[11634203, 11530057, 11623031, 11563772, 11504270, 11502885, 11511860]",7.0,1.8,4.0,0.002201,,,,,,,,,,,,
vol_Debt collection_2024-06-10/2024-06-16_8c705e1d,volume_spike,high,2026-02-02 02:37:39.864401,2024-06-10/2024-06-16,Debt collection,"Debt Recovery Solutions, LLC","Debt Recovery Solutions, LLC: 7 vs 1.8 expected (4.0x)",10.629350363139096,"[9271179, 9243757, 9274606, 9230851, 9273722, 9266881, 9249456]",7.0,1.8,4.0,0.002201,,,,,,,,,,,,
vol_Debt collection_2024-09-02/2024-09-08_e0b45922,volume_spike,high,2026-02-02 02:37:39.941474,2024-09-02/2024-09-08,Debt collection,OneMain Finance Corporation,OneMain Finance Corporation: 7 vs 1.8 expected (4.0x),10.629350363139096,"[10021918, 10022342, 10011395, 10055169, 10000779, 10056460, 10013169]",7.0,1.8,4.0,0.002201,,,,,,,,,,,,
vol_Debt collection_2024-02-26/2024-03-03_2d14dcd2,volume_spike,high,2026-02-02 02:37:39.992892,2024-02-26/2024-03-03,Debt collection,ALLY FINANCIAL INC.,ALLY FINANCIAL INC.: 7 vs 1.8 expected (4.0x),10.629350363139096,"[8427151, 8430563, 8440095, 8427157, 8447592, 8436647, 8436467]",7.0,1.8,4.0,0.002201,,,,,,,,,,,,
vol_Debt collection_2024-10-07/2024-10-13_2279d888,volume_spike,high,2026-02-02 02:37:40.785632,2024-10-07/2024-10-13,Debt collection,"ONLINE Information Services, Inc.","ONLINE Information Services, Inc.: 7 vs 1.8 expected (4.0x)",10.629350363139096,"[10413162, 10403938, 10422441, 10397888, 10412154, 10382965, 10402318]",7.0,1.8,4.0,0.002201,,,,,,,,,,,,
clust_Debt collection_2024-03-18/2024-03-24_1,cluster_growing,high,2026-02-02 02:37:40.932094,2024-03-18/2024-03-24,Debt collection,,Cluster 'cluster_1' growing: 2.3% → 7.8%,10.60290164907681,"[8586989, 8603374, 8601059, 8604887, 8604955, 8579723, 8583172, 8588231, 8609408, 8609341]",,,,,,,,,1.0,cluster_1,2.29,7.78,10.6,,,
corr_Debt collection_2024-04-22/2024-04-28,correlated_spike,medium,2026-02-02 02:37:40.438905,2024-04-22/2024-04-28,Debt collection,,4 companies spiked together (avg 2.6x),10.462714097496708,"[8867176, 8860807, 8856065, 8873977, 8859904, 8837774, 8876212, 8834040, 8848779, 8831795]",,,,,4.0,"['W&A Intermediate Co., LLC', 'Velocity Portfolio Group', 'National Credit Adjusters, LLC', 'Lockhart, Morris & Montgomery Inc.']",2.62,"{'Attempts to collect debt not owed': 31, 'Written notification about debt': 9, 'Communication tactics': 5}",,,,,,,,
vol_Debt collection_2024-11-11/2024-11-17_70de48e1,volume_spike,high,2026-02-02 02:37:40.985792,2024-11-11/2024-11-17,Debt collection,Absolute Resolutions Corp.,Absolute Resolutions Corp.: 11 vs 3.3 expected (3.3x),10.428641126318265,"[10826532, 10806474, 10812841, 10779333, 10757128, 10757218, 10826443, 10756600, 10757371, 10764591]",11.0,3.3,3.3,0.000692,,,,,,,,,,,,
corr_Debt collection_2023-12-11/2023-12-17,correlated_spike,medium,2026-02-02 02:37:40.874301,2023-12-11/2023-12-17,Debt collection,,4 companies spiked together (avg 2.6x),10.407814407814406,"[7992431, 8016164, 7979217, 8000245, 8013146, 7980312, 7992201, 7989869, 8008131, 7996827]",,,,,4.0,"['CITIBANK, N.A.', 'Eastern Account Systems of Connecticut, Inc.', 'Diversified Adjustment Service, Inc.', 'Zions Debt Holdings']",2.6,"{'Attempts to collect debt not owed': 9, 'Written notification about debt': 6, 'Took or threatened to take negative or legal action': 3}",,,,,,,,
corr_Debt collection_2023-12-18/2023-12-24,correlated_spike,medium,2026-02-02 02:37:39.979559,2023-12-18/2023-12-24,Debt collection,,4 companies spiked together (avg 2.5x),10.039337474120082,"[8028288, 8026281, 8034042, 8020514, 8046214, 8027583, 8029888, 8033319, 8039887, 8038001]",,,,,4.0,"['SYNCHRONY FINANCIAL', 'HW Holding, Inc', 'WELLS FARGO & COMPANY', 'National Credit Adjusters, LLC']",2.51,"{'Attempts to collect debt not owed': 23, 'Written notification about debt': 13, 'False statements or representation': 3}",,,,,,,,
corr_Debt collection_2024-12-23/2024-12-29,correlated_spike,medium,2026-02-02 02:37:39.594102,2024-12-23/2024-12-29,Debt collection,,4 companies spiked together (avg 2.5x),10.022222222222222,"[11249244, 11283296, 11318149, 11306423, 11308921, 11296527, 11245328, 11285280, 11261215, 11295911]",,,,,4.0,"['Velocity Portfolio Group', 'John C. Heath, Attorney at Law, PLLC', 'ACIMA CREDIT, LLC', 'Self Financial Inc.']",2.51,"{'Attempts to collect debt not owed': 8, 'False statements or representation': 7, 'Took or threatened to take negative or legal action': 4}",,,,,,,,
corr_Debt collection_2024-04-08/2024-04-14,correlated_spike,medium,2026-02-02 02:37:39.623996,2024-04-08/2024-04-14,Debt collection,,4 companies spiked together (avg 2.5x),10.0,"[8765441, 8748302, 8739429, 8723885, 8765475, 8746392, 8745666, 8764743, 8718453, 8758397]",,,,,4.0,"['ProCollect, Inc.', 'NCB Management Services Inc.', 'Credit Control, LLC', 'BTH Management']",2.5,"{'Attempts to collect debt not owed': 15, 'Written notification about debt': 11, 'Communication tactics': 3}",,,,,,,,
vol_Debt collection_2025-01-13/2025-01-19_1c599a1e,volume_spike,low,2026-02-02 02:37:39.724449,2025-01-13/2025-01-19,Debt collection,ENCORE CAPITAL GROUP INC.,ENCORE CAPITAL GROUP INC.: 98 vs 58.2 expected (1.7x),9.918689861135425,"[11631935, 11576985, 11501007, 11521466, 11659992, 11579508, 11499201, 11657760, 11670485, 11649647]",98.0,58.2,1.68,1e-06,,,,,,,,,,,,
vol_Debt collection_2023-12-18/2023-12-24_de0a2140,volume_spike,high,2026-02-02 02:37:39.966772,2023-12-18/2023-12-24,Debt collection,WELLS FARGO & COMPANY,WELLS FARGO & COMPANY: 10 vs 3.0 expected (3.3x),9.858753460843442,"[8038001, 8031506, 8044294, 8025278, 8020789, 8034996, 8029794, 8015813, 8018125, 8030373]",10.0,3.0,3.33,0.001102,,,,,,,,,,,,
vol_Debt collection_2024-10-07/2024-10-13_a458aa9b,volume_spike,high,2026-02-02 02:37:40.783295,2024-10-07/2024-10-13,Debt collection,NCB Management Services Inc.,NCB Management Services Inc.: 10 vs 3.0 expected (3.3x),9.858753460843442,"[10417859, 10371341, 10408174, 10431523, 10437172, 10414173, 10380829, 10377961, 10437509, 10415207]",10.0,3.0,3.33,0.001102,,,,,,,,,,,,
corr_Debt collection_2024-12-02/2024-12-08,correlated_spike,medium,2026-02-02 02:37:40.375561,2024-12-02/2024-12-08,Debt collection,,4 companies spiked together (avg 2.4x),9.709523809523809,"[11035524, 11010342, 11009097, 11006532, 11047830, 11001940, 11022804, 11014753, 11046735, 11038679]",,,,,4.0,"['AMERICAN EXPRESS COMPANY', 'Westlake Services, LLC', 'Aargon Agency, Inc.', 'Unifin Inc.']",2.43,"{'Attempts to collect debt not owed': 11, 'False statements or representation': 5, 'Written notification about debt': 4}",,,,,,,,
vol_Debt collection_2024-12-16/2024-12-22_48e972b9,volume_spike,medium,2026-02-02 02:37:39.319379,2024-12-16/2024-12-22,Debt collection,"Spring Oaks Capital, LLC","Spring Oaks Capital, LLC: 19 vs 7.2 expected (2.6x)",9.690544114931013,"[11205002, 11226729, 11163028, 11198168, 11183655, 11247364, 11244407, 11185653, 11241019, 11220718]",19.0,7.2,2.62,0.000201,,,,,,,,,,,,
vol_Debt collection_2024-01-22/2024-01-28_057eec96,volume_spike,medium,2026-02-02 02:37:39.437242,2024-01-22/2024-01-28,Debt collection,TRANSWORLD SYSTEMS INC,TRANSWORLD SYSTEMS INC: 26 vs 11.0 expected (2.4x),9.657627292202383,"[8225785, 8207044, 8199635, 8227523, 8228913, 8198783, 8240496, 8206180, 8239563, 8207738]",26.0,11.0,2.36,8.2e-05,,,,,,,,,,,,
clust_Debt collection_2024-11-11/2024-11-17_1,cluster_shrinking,high,2026-02-02 02:37:40.994046,2024-11-11/2024-11-17,Debt collection,,Cluster 'cluster_1' shrinking: 9.5% → 1.6%,9.637403565756111,"[10808871, 10806155, 10801059, 10800151, 10795707, 10808925, 10794935, 10808909, 10799249, 10794477]",,,,,,,,,1.0,cluster_1,9.48,1.61,-9.64,,,
corr_Debt collection_2024-01-29/2024-02-04,correlated_spike,medium,2026-02-02 02:37:40.030757,2024-01-29/2024-02-04,Debt collection,,4 companies spiked together (avg 2.4x),9.633333333333333,"[8253333, 8241398, 8282247, 8276801, 8267065, 8242257, 8252042, 8246495, 8262449, 8273410]",,,,,4.0,"['TrueAccord Corp.', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'NCB Management Services Inc.', 'Harris & Harris, Ltd.']",2.41,"{'Attempts to collect debt not owed': 10, 'Written notification about debt': 6, 'Electronic communications': 3}",,,,,,,,
