alert_id,type,severity,week,description,score,entity,observed,expected,ratio,p_value,companies_affected,company_list,avg_growth_ratio,common_issues,cluster_id,cluster_label,baseline_share,current_share,z_score
vol_2025-01-20/2025-01-26_8264,volume_spike,high,2025-01-20/2025-01-26,"UPGRADE, INC.: 8 complaints vs 1.2 expected (6.4x)",27.579074090231423,"UPGRADE, INC.",8.0,1.2,6.4,4.9e-05,,,,,,,,,
vol_2024-03-04/2024-03-10_6765,volume_spike,medium,2024-03-04/2024-03-10,Experian Information Solutions Inc.: 188 complaints vs 72.0 expected (2.6x),26.11111111111111,Experian Information Solutions Inc.,188.0,72.0,2.61,0.0,,,,,,,,,
corr_2024-09-23/2024-09-29,correlated_spike,high,2024-09-23/2024-09-29,9 companies spiked together (avg 2.8x),25.20986790986791,,,,,,9.0,"['AMERICAN EXPRESS COMPANY', 'Ability Recovery Services, LLC', 'Collection Management Holdings, LLC', 'Debt Recovery Solutions, LLC', 'JPMORGAN CHASE & CO.', 'Kriya Capital, LLC', 'NAVY FEDERAL CREDIT UNION', 'V and H Portfolio', 'WELLS FARGO & COMPANY']",2.8,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 20, 'False statements or representation': 18}",,,,,
corr_2024-02-12/2024-02-18,correlated_spike,high,2024-02-12/2024-02-18,9 companies spiked together (avg 2.6x),23.440601002806105,,,,,,9.0,"['CAPITAL ONE FINANCIAL CORPORATION', 'CL Holdings LLC', 'CREDIT ACCEPTANCE CORPORATION', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'NAVY FEDERAL CREDIT UNION', 'National Credit Systems,Inc.', 'The CMI Group, Inc.', 'Velocity Portfolio Group']",2.6,"{'Attempts to collect debt not owed': 80, 'Written notification about debt': 35, 'False statements or representation': 15}",,,,,
corr_2024-02-19/2024-02-25,correlated_spike,high,2024-02-19/2024-02-25,8 companies spiked together (avg 2.7x),21.913462913462915,,,,,,8.0,"['AMERICAN EXPRESS COMPANY', 'Aargon Agency, Inc.', 'CL Holdings LLC', 'Central Portfolio Control Inc.', 'Credit Control, LLC', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'Lockhart, Morris & Montgomery Inc.', 'W&A Intermediate Co., LLC']",2.74,"{'Attempts to collect debt not owed': 106, 'Written notification about debt': 54, 'Took or threatened to take negative or legal action': 19}",,,,,
vol_2024-01-22/2024-01-28_3109,volume_spike,medium,2024-01-22/2024-01-28,"TRANSUNION INTERMEDIATE HOLDINGS, INC.: 153 complaints vs 72.2 expected (2.1x)",21.176469567183247,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",153.0,72.2,2.12,0.0,,,,,,,,,
vol_2024-12-30/2025-01-05_2471,volume_spike,high,2024-12-30/2025-01-05,"Debt Recovery Solutions, LLC: 9 complaints vs 1.8 expected (5.1x)",20.831345330513855,"Debt Recovery Solutions, LLC",9.0,1.8,5.14,8.9e-05,,,,,,,,,
vol_2023-12-04/2023-12-10_9195,volume_spike,high,2023-12-04/2023-12-10,"W&A Intermediate Co., LLC: 13 complaints vs 3.0 expected (4.3x)",20.76468493828274,"W&A Intermediate Co., LLC",13.0,3.0,4.33,1.6e-05,,,,,,,,,
vol_2024-01-22/2024-01-28_7766,volume_spike,medium,2024-01-22/2024-01-28,"EQUIFAX, INC.: 115 complaints vs 56.2 expected (2.0x)",20.40530414160051,"EQUIFAX, INC.",115.0,56.2,2.04,0.0,,,,,,,,,
vol_2024-01-22/2024-01-28_6765,volume_spike,medium,2024-01-22/2024-01-28,Experian Information Solutions Inc.: 141 complaints vs 69.2 expected (2.0x),20.360770338176536,Experian Information Solutions Inc.,141.0,69.2,2.04,0.0,,,,,,,,,
corr_2024-03-11/2024-03-17,correlated_spike,high,2024-03-11/2024-03-17,7 companies spiked together (avg 2.7x),19.198076582425692,,,,,,7.0,"['CITIBANK, N.A.', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'Medical Data Systems, Inc.', 'NRA Group, LLC', 'ONLINE Information Services, Inc.', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.']",2.74,"{'Written notification about debt': 517, 'Attempts to collect debt not owed': 461, 'Took or threatened to take negative or legal action': 9}",,,,,
corr_2025-01-06/2025-01-12,correlated_spike,high,2025-01-06/2025-01-12,8 companies spiked together (avg 2.4x),19.14039408866995,,,,,,8.0,"['Absolute Resolutions Corp.', 'CREDIT ACCEPTANCE CORPORATION', 'FAIR COLLECTIONS & OUTSOURCING, INC.', 'Lockhart, Morris & Montgomery Inc.', 'MRS BPO, LLC', 'NRA Group, LLC', 'Penn Credit Corporation', 'ProCollect, Inc.']",2.39,"{'Attempts to collect debt not owed': 34, 'Written notification about debt': 9, 'Took or threatened to take negative or legal action': 9}",,,,,
vol_2024-05-06/2024-05-12_8667,volume_spike,high,2024-05-06/2024-05-12,"Aldous & Associates, PLLC: 18 complaints vs 5.0 expected (3.6x)",18.95863032738453,"Aldous & Associates, PLLC",18.0,5.0,3.6,5e-06,,,,,,,,,
clust_2024-06-24/2024-06-30_16,cluster_growing,high,2024-06-24/2024-06-30,"Cluster 'transactions, transactions report, authorize, repo' growing: 1.2% → 11.3%",18.92938954323873,,,,,,,,,,16.0,"transactions, transactions report, authorize, report, did",1.19,11.3,18.93
corr_2024-03-04/2024-03-10,correlated_spike,high,2024-03-04/2024-03-10,7 companies spiked together (avg 2.7x),18.606335723673183,,,,,,7.0,"['Amsher Collection Services, Inc.', 'CAVALRY INVESTMENTS, LLC', 'CCF Intermediate Holdings LLC', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'Spring Oaks Capital, LLC', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.']",2.66,"{'Written notification about debt': 443, 'Attempts to collect debt not owed': 164, 'False statements or representation': 10}",,,,,
vol_2024-02-05/2024-02-11_8725,volume_spike,high,2024-02-05/2024-02-11,"Sequium Asset Solutions, LLC: 11 complaints vs 2.5 expected (4.4x)",18.525007168100714,"Sequium Asset Solutions, LLC",11.0,2.5,4.4,6.2e-05,,,,,,,,,
vol_2024-11-11/2024-11-17_7139,volume_spike,high,2024-11-11/2024-11-17,Absolute Resolutions Corp.: 11 complaints vs 2.5 expected (4.4x),18.525007168100714,Absolute Resolutions Corp.,11.0,2.5,4.4,6.2e-05,,,,,,,,,
vol_2025-01-27/2025-02-02_4376,volume_spike,high,2025-01-27/2025-02-02,"CLGF Holdco 1, LLC: 11 complaints vs 2.5 expected (4.4x)",18.525007168100714,"CLGF Holdco 1, LLC",11.0,2.5,4.4,6.2e-05,,,,,,,,,
vol_2023-12-18/2023-12-24_5403,volume_spike,high,2023-12-18/2023-12-24,WELLS FARGO & COMPANY: 10 complaints vs 2.2 expected (4.4x),17.412961108765153,WELLS FARGO & COMPANY,10.0,2.2,4.44,0.000121,,,,,,,,,
corr_2024-08-12/2024-08-18,correlated_spike,high,2024-08-12/2024-08-18,6 companies spiked together (avg 2.9x),17.305735131741322,,,,,,6.0,"['AMERICAN EXPRESS COMPANY', 'Eastern Account Systems of Connecticut, Inc.', 'HW Holding, Inc', 'I.C. System, Inc.', 'Rent Recovery Solutions', 'Velocity Portfolio Group']",2.88,"{'Attempts to collect debt not owed': 36, 'Written notification about debt': 15, 'False statements or representation': 12}",,,,,
vol_2025-01-13/2025-01-19_976,volume_spike,low,2025-01-13/2025-01-19,Resurgent Capital Services L.P.: 166 complaints vs 95.8 expected (1.7x),17.032992729133177,Resurgent Capital Services L.P.,166.0,95.8,1.73,0.0,,,,,,,,,
corr_2024-06-10/2024-06-16,correlated_spike,high,2024-06-10/2024-06-16,7 companies spiked together (avg 2.4x),16.840472393103973,,,,,,7.0,"['Affirm Holdings, Inc', 'CREDIT ACCEPTANCE CORPORATION', 'Credit Corp Solutions Inc.', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'JPMORGAN CHASE & CO.', 'LJ Ross Associates']",2.41,"{'Attempts to collect debt not owed': 37, 'Written notification about debt': 10, 'Took or threatened to take negative or legal action': 6}",,,,,
clust_2024-05-27/2024-06-02_21,cluster_growing,high,2024-05-27/2024-06-02,"Cluster 'accounts, listed accounts, listed, accounts credit' growing: 5.0% → 18.1%",16.80753629521893,,,,,,,,,,21.0,"accounts, listed accounts, listed, accounts credit, fcra 605b",5.02,18.15,16.81
corr_2024-12-30/2025-01-05,correlated_spike,high,2024-12-30/2025-01-05,6 companies spiked together (avg 2.8x),16.63838383838384,,,,,,6.0,"['Affirm Holdings, Inc', 'Aldous & Associates, PLLC', 'Halsted Financial Services, LLC.', 'Source Receivables Management LLC', 'Southwest Credit Systems, L.P.', 'V and H Portfolio']",2.77,"{'Attempts to collect debt not owed': 28, 'Written notification about debt': 12, 'False statements or representation': 5}",,,,,
vol_2024-10-21/2024-10-27_2224,volume_spike,high,2024-10-21/2024-10-27,Velocity Portfolio Group: 14 complaints vs 3.8 expected (3.7x),16.465502535022306,Velocity Portfolio Group,14.0,3.8,3.73,3.9e-05,,,,,,,,,
corr_2024-08-19/2024-08-25,correlated_spike,medium,2024-08-19/2024-08-25,4 companies spiked together (avg 4.0x),15.98989898989899,,,,,,4.0,"['Credit Control, LLC', 'Mullooly Jeffrey Rooney & Flynn', 'Rent Recovery Solutions', 'Sequium Asset Solutions, LLC']",4.0,"{'Attempts to collect debt not owed': 17, 'Written notification about debt': 9, 'Took or threatened to take negative or legal action': 4}",,,,,
vol_2024-04-15/2024-04-21_660,volume_spike,high,2024-04-15/2024-04-21,"SANTANDER HOLDINGS USA, INC.: 8 complaints vs 1.8 expected (4.6x)",15.22119311792165,"SANTANDER HOLDINGS USA, INC.",8.0,1.8,4.57,0.000468,,,,,,,,,
vol_2024-08-26/2024-09-01_9484,volume_spike,high,2024-08-26/2024-09-01,Self Financial Inc.: 8 complaints vs 1.8 expected (4.6x),15.22119311792165,Self Financial Inc.,8.0,1.8,4.57,0.000468,,,,,,,,,
corr_2024-12-16/2024-12-22,correlated_spike,high,2024-12-16/2024-12-22,6 companies spiked together (avg 2.4x),14.639737274220034,,,,,,6.0,"['Collection Management Holdings, LLC', 'Consumer Adjustment Company Incorporated', 'Credit Corp Solutions Inc.', 'Sequium Asset Solutions, LLC', 'Spring Oaks Capital, LLC', 'TrueAccord Corp.']",2.44,"{'Attempts to collect debt not owed': 32, 'False statements or representation': 9, 'Took or threatened to take negative or legal action': 6}",,,,,
clust_2024-09-23/2024-09-29_3,cluster_growing,high,2024-09-23/2024-09-29,"Cluster 'accounts, look documents, accordance fcra, report ' growing: 1.8% → 9.8%",14.624652411504774,,,,,,,,,,3.0,"accounts, look documents, accordance fcra, report accordance, 605b look",1.83,9.76,14.62
corr_2024-07-15/2024-07-21,correlated_spike,high,2024-07-15/2024-07-21,6 companies spiked together (avg 2.4x),14.297979797979796,,,,,,6.0,"['CAVALRY INVESTMENTS, LLC', 'JPMORGAN CHASE & CO.', 'NAVY FEDERAL CREDIT UNION', 'Penn Credit Corporation', 'RentDebt Automated Collections, LLC', 'WELLS FARGO & COMPANY']",2.38,"{'Attempts to collect debt not owed': 21, 'Written notification about debt': 8, 'False statements or representation': 7}",,,,,
clust_2024-04-29/2024-05-05_28,cluster_shrinking,high,2024-04-29/2024-05-05,"Cluster 'need reporting, reporting correction, correction c' shrinking: 13.4% → 0.8%",14.291959940915374,,,,,,,,,,28.0,"need reporting, reporting correction, correction company, accounts need, identified inaccurate",13.44,0.78,-14.29
vol_2023-12-25/2023-12-31_2286,volume_spike,high,2023-12-25/2023-12-31,ALLY FINANCIAL INC.: 7 complaints vs 1.5 expected (4.7x),14.155832875311566,ALLY FINANCIAL INC.,7.0,1.5,4.67,0.000926,,,,,,,,,
vol_2023-12-25/2023-12-31_4512,volume_spike,high,2023-12-25/2023-12-31,"Security Credit Services, LLC: 7 complaints vs 1.5 expected (4.7x)",14.155832875311566,"Security Credit Services, LLC",7.0,1.5,4.67,0.000926,,,,,,,,,
vol_2024-01-15/2024-01-21_8156,volume_spike,high,2024-01-15/2024-01-21,"Collection Management Holdings, LLC: 7 complaints vs 1.5 expected (4.7x)",14.155832875311566,"Collection Management Holdings, LLC",7.0,1.5,4.67,0.000926,,,,,,,,,
vol_2024-11-04/2024-11-10_3340,volume_spike,high,2024-11-04/2024-11-10,Consumer Adjustment Company Incorporated: 7 complaints vs 1.5 expected (4.7x),14.155832875311566,Consumer Adjustment Company Incorporated,7.0,1.5,4.67,0.000926,,,,,,,,,
vol_2025-01-06/2025-01-12_5615,volume_spike,high,2025-01-06/2025-01-12,"Kimball, Tirey & St. John LLP: 7 complaints vs 1.5 expected (4.7x)",14.155832875311566,"Kimball, Tirey & St. John LLP",7.0,1.5,4.67,0.000926,,,,,,,,,
vol_2025-01-27/2025-02-02_6984,volume_spike,high,2025-01-27/2025-02-02,LJ Ross Associates: 7 complaints vs 1.5 expected (4.7x),14.155832875311566,LJ Ross Associates,7.0,1.5,4.67,0.000926,,,,,,,,,
corr_2024-04-15/2024-04-21,correlated_spike,high,2024-04-15/2024-04-21,5 companies spiked together (avg 2.7x),13.727272727272727,,,,,,5.0,"['Aargon Agency, Inc.', 'Affirm Holdings, Inc', 'CLGF Holdco 1, LLC', 'MRS BPO, LLC', 'Zions Debt Holdings']",2.75,"{'Attempts to collect debt not owed': 19, 'False statements or representation': 6, 'Written notification about debt': 6}",,,,,
clust_2024-01-22/2024-01-28_20,cluster_growing,high,2024-01-22/2024-01-28,"Cluster 'credit report, report, credit, accounts, fraudulen' growing: 3.4% → 15.0%",13.646507530408758,,,,,,,,,,20.0,"credit report, report, credit, accounts, fraudulent",3.4,14.99,13.65
vol_2024-01-29/2024-02-04_8725,volume_spike,high,2024-01-29/2024-02-04,"Sequium Asset Solutions, LLC: 6 complaints vs 1.2 expected (4.8x)",13.131044539085282,"Sequium Asset Solutions, LLC",6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-02-05/2024-02-11_8719,volume_spike,high,2024-02-05/2024-02-11,"Diversified Adjustment Service, Inc.: 6 complaints vs 1.2 expected (4.8x)",13.131044539085282,"Diversified Adjustment Service, Inc.",6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-06-17/2024-06-23_9032,volume_spike,high,2024-06-17/2024-06-23,Bridgecrest Acceptance Corporation: 6 complaints vs 1.2 expected (4.8x),13.131044539085282,Bridgecrest Acceptance Corporation,6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-07-22/2024-07-28_6984,volume_spike,high,2024-07-22/2024-07-28,LJ Ross Associates: 6 complaints vs 1.2 expected (4.8x),13.131044539085282,LJ Ross Associates,6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-08-26/2024-09-01_2176,volume_spike,high,2024-08-26/2024-09-01,CCF Intermediate Holdings LLC: 6 complaints vs 1.2 expected (4.8x),13.131044539085282,CCF Intermediate Holdings LLC,6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-12-09/2024-12-15_4376,volume_spike,high,2024-12-09/2024-12-15,"CLGF Holdco 1, LLC: 6 complaints vs 1.2 expected (4.8x)",13.131044539085282,"CLGF Holdco 1, LLC",6.0,1.2,4.8,0.001838,,,,,,,,,
vol_2024-02-26/2024-03-03_37,volume_spike,high,2024-02-26/2024-03-03,JPMORGAN CHASE & CO.: 11 complaints vs 3.0 expected (3.7x),12.958425842615497,JPMORGAN CHASE & CO.,11.0,3.0,3.67,0.000292,,,,,,,,,
vol_2024-08-12/2024-08-18_229,volume_spike,high,2024-08-12/2024-08-18,AMERICAN EXPRESS COMPANY: 11 complaints vs 3.0 expected (3.7x),12.958425842615497,AMERICAN EXPRESS COMPANY,11.0,3.0,3.67,0.000292,,,,,,,,,
vol_2025-01-20/2025-01-26_3240,volume_spike,high,2025-01-20/2025-01-26,"Ability Recovery Services, LLC: 11 complaints vs 3.0 expected (3.7x)",12.958425842615497,"Ability Recovery Services, LLC",11.0,3.0,3.67,0.000292,,,,,,,,,
clust_2024-05-06/2024-05-12_10,cluster_growing,high,2024-05-06/2024-05-12,"Cluster 'recognize significance, ve identified, inaccurate ' growing: 2.0% → 8.3%",12.931299966055182,,,,,,,,,,10.0,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",1.96,8.34,12.93
corr_2024-01-22/2024-01-28,correlated_spike,high,2024-01-22/2024-01-28,6 companies spiked together (avg 2.1x),12.83332216260651,,,,,,6.0,"['CCS Financial Services, Inc.', 'EQUIFAX, INC.', 'Experian Information Solutions Inc.', 'JPMORGAN CHASE & CO.', 'TRANSUNION INTERMEDIATE HOLDINGS, INC.', 'TRANSWORLD SYSTEMS INC']",2.14,"{'Attempts to collect debt not owed': 225, 'Written notification about debt': 207, 'Took or threatened to take negative or legal action': 20}",,,,,
corr_2024-02-05/2024-02-11,correlated_spike,medium,2024-02-05/2024-02-11,4 companies spiked together (avg 3.2x),12.638095238095238,,,,,,4.0,"['ONLINE Information Services, Inc.', 'Radius Global Solutions LLC', 'Sequium Asset Solutions, LLC', 'TrueAccord Corp.']",3.16,"{'Attempts to collect debt not owed': 21, 'Communication tactics': 3, 'Electronic communications': 3}",,,,,
vol_2023-11-27/2023-12-03_2310,volume_spike,medium,2023-11-27/2023-12-03,CAPITAL ONE FINANCIAL CORPORATION: 19 complaints vs 6.5 expected (2.9x),12.55838668342037,CAPITAL ONE FINANCIAL CORPORATION,19.0,6.5,2.92,5.1e-05,,,,,,,,,
corr_2024-11-18/2024-11-24,correlated_spike,high,2024-11-18/2024-11-24,5 companies spiked together (avg 2.5x),12.535714285714285,,,,,,5.0,"['Absolute Resolutions Corp.', 'Affirm Holdings, Inc', 'Halsted Financial Services, LLC.', 'Harris & Harris, Ltd.', 'LJ Ross Associates']",2.51,"{'Attempts to collect debt not owed': 16, 'False statements or representation': 9, 'Written notification about debt': 5}",,,,,
corr_2024-12-09/2024-12-15,correlated_spike,high,2024-12-09/2024-12-15,5 companies spiked together (avg 2.5x),12.42748538011696,,,,,,5.0,"['Central Portfolio Control Inc.', 'Diversified Adjustment Service, Inc.', 'Eastern Account Systems of Connecticut, Inc.', 'Lockhart, Morris & Montgomery Inc.', 'ONLINE Information Services, Inc.']",2.49,"{'Attempts to collect debt not owed': 13, 'False statements or representation': 12, 'Written notification about debt': 5}",,,,,
vol_2024-09-23/2024-09-29_9065,volume_spike,medium,2024-09-23/2024-09-29,"Kriya Capital, LLC: 26 complaints vs 10.0 expected (2.6x)",12.356522337366641,"Kriya Capital, LLC",26.0,10.0,2.6,1.8e-05,,,,,,,,,
vol_2024-08-12/2024-08-18_8909,volume_spike,high,2024-08-12/2024-08-18,"HW Holding, Inc: 15 complaints vs 4.8 expected (3.2x)",12.253028848587583,"HW Holding, Inc",15.0,4.8,3.16,0.000132,,,,,,,,,
corr_2024-11-11/2024-11-17,correlated_spike,medium,2024-11-11/2024-11-17,4 companies spiked together (avg 3.1x),12.22051282051282,,,,,,4.0,"['Absolute Resolutions Corp.', 'Debt Recovery Solutions, LLC', 'Harris & Harris, Ltd.', 'Security Credit Services, LLC']",3.06,"{'Attempts to collect debt not owed': 10, 'False statements or representation': 9, 'Written notification about debt': 4}",,,,,
clust_2024-03-25/2024-03-31_21,cluster_growing,high,2024-03-25/2024-03-31,"Cluster 'accounts, listed accounts, listed, accounts credit' growing: 4.4% → 12.7%",12.076117811166434,,,,,,,,,,21.0,"accounts, listed accounts, listed, accounts credit, fcra 605b",4.42,12.71,12.08
clust_2024-03-11/2024-03-17_20,cluster_growing,high,2024-03-11/2024-03-17,"Cluster 'credit report, report, credit, accounts, fraudulen' growing: 2.7% → 9.5%",11.880517153530471,,,,,,,,,,20.0,"credit report, report, credit, accounts, fraudulent",2.69,9.47,11.88
vol_2024-10-07/2024-10-13_6906,volume_spike,high,2024-10-07/2024-10-13,"United Collection Bureau, Inc.: 8 complaints vs 2.0 expected (4.0x)",11.839618422805744,"United Collection Bureau, Inc.",8.0,2.0,4.0,0.001097,,,,,,,,,
vol_2024-09-23/2024-09-29_5403,volume_spike,high,2024-09-23/2024-09-29,WELLS FARGO & COMPANY: 10 complaints vs 2.8 expected (3.6x),11.779673197356813,WELLS FARGO & COMPANY,10.0,2.8,3.64,0.000576,,,,,,,,,
vol_2024-12-30/2025-01-05_8667,volume_spike,high,2024-12-30/2025-01-05,"Aldous & Associates, PLLC: 10 complaints vs 2.8 expected (3.6x)",11.779673197356813,"Aldous & Associates, PLLC",10.0,2.8,3.64,0.000576,,,,,,,,,
vol_2025-01-20/2025-01-26_6765,volume_spike,low,2025-01-20/2025-01-26,Experian Information Solutions Inc.: 184 complaints vs 119.2 expected (1.5x),11.765624947243857,Experian Information Solutions Inc.,184.0,119.2,1.54,0.0,,,,,,,,,
vol_2025-01-20/2025-01-26_5564,volume_spike,low,2025-01-20/2025-01-26,"Portfolio Recovery Associates, LLC: 106 complaints vs 61.5 expected (1.7x)",11.690625075879574,"Portfolio Recovery Associates, LLC",106.0,61.5,1.72,0.0,,,,,,,,,
corr_2024-09-30/2024-10-06,correlated_spike,medium,2024-09-30/2024-10-06,4 companies spiked together (avg 2.9x),11.466666666666669,,,,,,4.0,"['AMERICAN EXPRESS COMPANY', 'Collection Management Holdings, LLC', 'Self Financial Inc.', 'Sequium Asset Solutions, LLC']",2.87,"{'Took or threatened to take negative or legal action': 12, 'Attempts to collect debt not owed': 10, 'Written notification about debt': 9}",,,,,
clust_2024-05-20/2024-05-26_10,cluster_growing,high,2024-05-20/2024-05-26,"Cluster 'recognize significance, ve identified, inaccurate ' growing: 4.5% → 12.4%",11.43513601653634,,,,,,,,,,10.0,"recognize significance, ve identified, inaccurate troubling, erroneous entries, identified accounts",4.5,12.39,11.44
clust_2024-07-01/2024-07-07_16,cluster_growing,high,2024-07-01/2024-07-07,"Cluster 'transactions, transactions report, authorize, repo' growing: 4.1% → 13.0%",11.391779425567284,,,,,,,,,,16.0,"transactions, transactions report, authorize, report, did",4.06,12.96,11.39
vol_2025-01-13/2025-01-19_6765,volume_spike,low,2025-01-13/2025-01-19,Experian Information Solutions Inc.: 163 complaints vs 104.0 expected (1.6x),11.38178652248476,Experian Information Solutions Inc.,163.0,104.0,1.57,0.0,,,,,,,,,
clust_2024-03-18/2024-03-24_26,cluster_growing,high,2024-03-18/2024-03-24,"Cluster 'transactions, wish, formally, transactions consume' growing: 5.2% → 13.3%",11.356142434787193,,,,,,,,,,26.0,"transactions, wish, formally, transactions consumer, inclusion specific",5.19,13.35,11.36
corr_2023-11-27/2023-12-03,correlated_spike,medium,2023-11-27/2023-12-03,4 companies spiked together (avg 2.8x),11.292929292929292,,,,,,4.0,"['CAPITAL ONE FINANCIAL CORPORATION', 'JPMORGAN CHASE & CO.', 'TrueAccord Corp.', 'Westlake Services, LLC']",2.82,"{'Attempts to collect debt not owed': 17, 'Written notification about debt': 13, 'Communication tactics': 4}",,,,,
clust_2024-06-03/2024-06-09_19,cluster_growing,high,2024-06-03/2024-06-09,"Cluster 'discrepancies accounts, 605b review, discrepancies' growing: 3.0% → 9.8%",11.24469471185164,,,,,,,,,,19.0,"discrepancies accounts, 605b review, discrepancies, importance removing, quite concerning",3.02,9.75,11.24
corr_2024-10-21/2024-10-27,correlated_spike,medium,2024-10-21/2024-10-27,4 companies spiked together (avg 2.8x),11.23859649122807,,,,,,4.0,"['Aargon Agency, Inc.', 'Credit Control, LLC', 'SANTANDER HOLDINGS USA, INC.', 'Velocity Portfolio Group']",2.81,"{'Attempts to collect debt not owed': 12, 'Written notification about debt': 9, 'False statements or representation': 8}",,,,,
corr_2023-12-18/2023-12-24,correlated_spike,medium,2023-12-18/2023-12-24,4 companies spiked together (avg 2.8x),11.150448585231194,,,,,,4.0,"['HW Holding, Inc', 'National Credit Adjusters, LLC', 'SYNCHRONY FINANCIAL', 'WELLS FARGO & COMPANY']",2.79,"{'Attempts to collect debt not owed': 23, 'Written notification about debt': 13, 'False statements or representation': 3}",,,,,
clust_2024-03-04/2024-03-10_20,cluster_growing,high,2024-03-04/2024-03-10,"Cluster 'credit report, report, credit, accounts, fraudulen' growing: 1.2% → 6.5%",11.078657565142175,,,,,,,,,,20.0,"credit report, report, credit, accounts, fraudulent",1.18,6.48,11.08
vol_2024-09-23/2024-09-29_8072,volume_spike,high,2024-09-23/2024-09-29,V and H Portfolio: 11 complaints vs 3.2 expected (3.4x),10.996041158824545,V and H Portfolio,11.0,3.2,3.38,0.000564,,,,,,,,,
